time [s],speed [km/h]
0.0,37.8
3.526763381690846,8.1
3.526763381690846,8.1
10.580290145072537,44.099999999999994
10.580290145072537,44.099999999999994
26.450725362681343,46.8
34.092046023011505,48.599999999999994
58.191595797898955,99.89999999999999
93.45922961480741,65.69999999999999
105.2151075537769,59.39999999999999
125.7878939469735,82.8
136.9559779889945,112.49999999999999
152.23861930965484,123.29999999999998
182.21610805402702,94.49999999999999
191.03301650825415,77.39999999999999
196.3231615807904,59.39999999999999
317.9964982491246,59.39999999999999
348.5617808904453,58.49999999999999
352.0885442721361,57.599999999999994
364.43221610805404,59.39999999999999
486.1055527763882,59.39999999999999
496.6858429214608,78.3
522.5487743871936,89.1
526.663331665833,86.39999999999999
545.4727363681841,105.29999999999998
667.7338669334667,76.49999999999999
705.3526763381691,113.39999999999999
795.8729364682342,53.099999999999994
802.9264632316159,49.49999999999999
814.0945472736369,49.49999999999999
818.2091045522762,49.49999999999999
854.6523261630816,106.19999999999999
913.431715857929,80.1
917.5462731365684,96.3
951.6383191595799,73.8
957.5162581290646,49.49999999999999
968.6843421710856,48.599999999999994
979.2646323161581,19.799999999999997
985.1425712856429,18.9
986.9059529764883,34.199999999999996
999.8374187093548,49.49999999999999
1008.6543271635819,32.4
1011.0055027513757,32.4
1016.8834417208606,29.699999999999996
1094.472236118059,8.1
1094.472236118059,8.1
1102.1135567783892,29.699999999999996
1147.9614807403702,9.899999999999999
1152.0760380190095,9.899999999999999
1170.2976488244124,9.899999999999999
1175.0,6.299999999999999
